35.8241 	EXP 	grating: autoDraw = False
35.8241 	EXP 	grating: ori = np.float64(-4.5)
35.8241 	EXP 	fixation: autoDraw = True
35.9910 	EXP 	Device response: <KeyPress from None: t=35.79403430002276, value=right, duration=0.18518459994811565>
36.3073 	INFO 	Keyboard events cleared
36.3071 	EXP 	grating: autoDraw = True
36.3237 	EXP 	fixation: autoDraw = False
36.5573 	EXP 	Device response: <KeyPress from None: t=36.544934100005776, value=left, duration=None>
36.5588 	DATA 	Keypress: left
36.5734 	EXP 	fixation: autoDraw = False
36.5734 	EXP 	grating: autoDraw = False
36.5734 	EXP 	grating: ori = np.float64(-4.5)
36.5734 	EXP 	fixation: autoDraw = True
36.7239 	EXP 	Device response: <KeyPress from None: t=36.544934100005776, value=left, duration=0.16815250006038696>
37.0565 	INFO 	Keyboard events cleared
37.0564 	EXP 	grating: autoDraw = True
37.0731 	EXP 	fixation: autoDraw = False
37.3563 	EXP 	grating: autoDraw = False
37.4075 	EXP 	Device response: <KeyPress from None: t=37.405652899993584, value=right, duration=None>
37.4091 	DATA 	Keypress: right
37.4231 	EXP 	fixation: autoDraw = False
37.4231 	EXP 	grating: autoDraw = False
37.4231 	EXP 	grating: ori = np.float64(5.0)
37.4231 	EXP 	fixation: autoDraw = True
